plant_power_kW,RO_perm_flow_gpm,UV1_flow_MGD,UV2_flow_MGD,RO_feed_flow_gpm
1302.881348,5175,5.289163113,5.269203663,7836.47998
1679.47644,6849,7.115420818,7.0555439,10412.33984
1642.82312,6829,7.095461845,7.115420818,10437.45996
1669.210693,6934,7.225195885,7.135380268,10615.75
1689.129883,7033,7.125400543,7.155339241,10736.93945
1704.186279,7012,7.334970951,7.265114307,10693.91992
1609.155273,7060,7.265114307,7.255134583,10668.21973
1388.371826,5204,5.398938179,5.388958454,8098.909668
1661.878174,6938,7.125400543,7.065523148,10585.42969
1636.721924,6987,7.23517561,7.155339241,10672.31934
1730.646362,7024,7.265114307,7.28507328,10747.79004
1691.279785,6964,7.315011978,7.295053005,10696
1769.813232,7000,7.225195885,7.245155334,10606.2998
1681.061768,6901,7.195257187,7.155339241,10607.64941
977.8543091,3504,3.622577667,3.602618456,5380.759766
1156.317749,4820,5.359019756,5.359019756,7665.319824
956.9025879,3548,3.812189102,3.792229891,5408.600098
1029.799561,3519,3.692434549,3.672475338,5482.639648
220.9060364,2,0,0,2349.089844
1406.890747,5316,5.508713245,5.508713245,8186.629883
1806.279541,7074,7.295053005,7.334970951,10780.60938
1728.880005,7152,7.315011978,7.354930401,10885.56934
1326.677612,5329,5.518692493,5.468794823,8191.569824
1740.171387,7062,7.295053005,7.315011978,10840.17969
1764.985229,6979,7.295053005,7.215216637,10762.4502
1759.089355,7008,7.344950676,7.265114307,10789.96973
1817.139893,7053,7.30503273,7.354930401,10794.75977
1826.322266,6974,7.344950676,7.255134583,10761.88965
1781.05249,7074,7.324991703,7.324991703,10884.64941
1376.69458,5268,5.388958454,5.368999481,8179.149902
1008.243347,3546,3.692434549,3.662495852,5473.509766
1028.298828,3533,3.702414036,3.672475338,5498.72998
1598.2052,6822,7.095461845,7.065523148,10427.5293
1728.376099,6860,6.875911713,6.895870686,10383.14941
1243.485596,5049,5.189367294,5.149449348,7696.069824
1348.19104,5095,5.079592228,5.039674282,7705.609863
1593.400146,6877,7.125400543,7.135380268,10374.55957
1640.186768,6895,7.115420818,7.085482121,10479.64941
1318.49707,5081,5.418897152,5.388958454,8458.799805
1535.508179,6868,7.115420818,7.10544157,10304.30957
1619.240479,6780,7.085482121,7.10544157,10415.58008
1599.189575,6803,7.0555439,6.985686779,10370.81934
1586.658936,6824,7.085482121,7.085482121,10356.5
1591.622559,6800,7.025605202,6.90585041,10428.04004
1600.525391,6806,6.995666504,6.945768833,10333.89941
1609.536987,6796,7.025605202,7.025605202,10410.92969
1583.148193,6800,7.03558445,7.085482121,10434.92969
1639.463745,6700,7.075502872,6.975707054,10428.33984
1622.755615,6793,6.985686779,6.875911713,10437.7002
1649.517822,6880,7.095461845,7.065523148,10498.05957
1704.657715,6751,7.0555439,7.015625477,10312.99023
1660.103027,6809,7.045564175,7.025605202,10347.91992
1682.770874,6743,7.045564175,6.985686779,10416.5498
248.500351,2,0,0,2677.639893
1608.164673,6819,7.0555439,7.025605202,10423
1254.545288,5018,5.219305992,5.219305992,7728.219727
608.2219238,1693,1.736442208,1.716482997,2622.319824
1222.816284,5073,5.199347019,5.169408321,7732.799805
1237.191895,5064,5.199347019,5.189367294,7766.929688
1214.248047,5082,5.179387569,5.159428596,7734.389648
1186.130615,5044,5.189367294,5.179387569,7676.239746
1222.649048,5095,5.199347019,5.169408321,7736.989746
1240.079102,5060,5.189367294,5.179387569,7728.739746
933.1446533,3377,3.472884417,3.432965994,5192.5
925.6376953,3318,3.472884417,3.442945719,5125.969727
1233.43042,5020,5.568590164,4.830103397,7666.139648
1208.978271,5050,5.588549614,4.770226002,7786.239746
1215.82373,5082,5.618488312,4.780205727,7655.119629
1300.837891,5071,5.598528862,4.830103397,7820.219727
1188.379395,5040,5.598528862,4.770226002,7712.849609
1227.728882,5040,5.608508587,4.790185452,7686.339844
1206.834473,5027,5.608508587,4.780205727,7740.969727
1214.869385,5045,5.119510651,5.24924469,7731.799805
1243.553589,5042,5.189367294,5.169408321,7784.47998
1210.039917,5053,5.189367294,5.149449348,7695.349609
886.6147461,3384,3.472884417,3.452925205,5152.529785
938.5081177,3358,3.482863903,3.442945719,5180.080078
920.2897339,3390,3.482863903,3.452925205,5157.72998
842.1707153,3383,3.472884417,3.442945719,5134.149902
855.6551514,3381,3.482863903,3.452925205,5190.649902
906.7549438,3369,3.472884417,3.442945719,5177.359863
1619.038086,6881,7.115420818,6.995666504,10388.5293
1612.838135,6879,7.10544157,7.10544157,10383.43945
1605.749146,6872,7.155339241,7.045564175,10330.79004
1601.517822,6856,7.115420818,7.03558445,10419.62012
113.5278854,2,0,0,3.899999857
129.7496796,2,0,0,3.899999857
1557.034058,6895,7.185277939,7.005645752,10446.54004
1566.298462,6865,7.10544157,7.125400543,10368.56934
1600.863892,6850,7.065523148,6.975707054,10437.7793
1572.793213,6875,7.115420818,7.025605202,10365.75977
1570.393066,6858,7.10544157,7.10544157,10400.83984
800.59198,3369,3.482863903,3.413007021,5137.370117
580.6290894,1683,1.736442208,1.686544418,2577.540039
1598.893311,6878,7.145359516,7.075502872,10545.56934
1587.212769,6862,7.145359516,7.0555439,10431.72949
1601.034912,6827,7.195257187,7.075502872,10299.2002
1600.248291,6846,7.135380268,7.0555439,10326.74023
1590.575317,6831,7.155339241,6.975707054,10461.2793
1591.835938,6874,7.095461845,7.015625477,10431.21973
1597.473389,6844,7.155339241,7.005645752,10430.30957
1634.576782,6750,7.115420818,7.005645752,10374.75977
1611.403809,6828,7.135380268,7.03558445,10376.56934
1582.347412,6848,7.135380268,7.015625477,10463.93945
1593.375732,6807,7.125400543,6.975707054,10380.96973
1569.662964,6795,7.135380268,6.955748081,10379.59961
1204.255005,5057,5.229285717,5.109530926,7776.060059
1572.860229,6848,7.045564175,7.03558445,10482.06934
1582.240112,6810,7.085482121,7.065523148,10375.05957
1624.002686,6826,7.085482121,6.925809383,10343.99023
1538.438721,6846,7.065523148,7.03558445,10378.21973
1584.719238,6829,7.075502872,7.005645752,10479.58984
1243.531006,5055,5.279183388,5.189367294,7802.349609
656.5620117,1558,0.708548248,0.608752728,2617.079834
200.3862,2,0,0,2451.469971
121.525383,2,0,0,3.75999999
550.354248,1801,1.576769352,1.55681026,2708.699951
1560.865601,6808,7.085482121,6.945768833,10367.00977
1552.509033,6802,7.085482121,6.965727806,10368.97949
1267.927979,5028,5.259224415,5.159428596,7784.629883
1286.710205,5067,5.24924469,5.169408321,7746.759766
1280.248535,5044,5.279183388,5.169408321,7791.389648
1634.669434,6810,7.135380268,7.025605202,10447.97949
